,user_id,anime_id,rating
47,1,8074,10
81,1,11617,10
83,1,11757,10
101,1,15451,10
153,2,11771,10
156,3,20,8
157,3,154,6
158,3,170,9
159,3,199,10
160,3,225,9
161,3,341,6
162,3,430,7
163,3,527,7
164,3,552,7
165,3,813,10
166,3,1119,7
167,3,1121,7
168,3,1122,7
169,3,1132,8
170,3,1292,6
171,3,1313,8
172,3,1526,7
173,3,1535,10
174,3,1564,7
175,3,1689,8
176,3,1764,6
177,3,1943,8
178,3,2201,7
179,3,2404,7
180,3,2847,7
181,3,3588,8
182,3,4026,7
183,3,5114,10
184,3,5231,8
185,3,6178,7
186,3,6702,8
187,3,6880,6
188,3,7695,7
189,3,8074,6
190,3,9107,6
191,3,9135,7
192,3,9760,9
193,3,9917,8
194,3,9919,8
195,3,9989,10
196,3,10408,7
197,3,10507,8
198,3,11111,8
199,3,11703,6
200,3,11737,7
201,3,11757,9
202,3,11759,7
203,3,11771,10
204,3,12671,3
205,3,14075,8
206,3,14093,7
207,3,14345,8
208,3,14513,10
209,3,16498,10
210,3,16512,5
211,3,16782,7
212,3,16894,10
213,3,16918,8
214,3,17265,7
215,3,18097,7
216,3,18115,10
217,3,18393,7
218,3,19315,3
219,3,19815,9
220,3,20021,5
221,3,20159,10
222,3,20507,8
223,3,20583,9
224,3,21507,6
225,3,21881,7
226,3,22199,8
227,3,22297,8
228,3,22319,6
229,3,22547,6
230,3,22729,7
231,3,23301,8
232,3,23321,6
233,3,23333,4
234,3,23755,8
235,3,24415,10
236,3,26243,6
237,3,27631,8
238,3,27899,8
239,3,28121,9
240,3,28171,10
241,3,28223,6
242,3,28497,7
243,3,28701,9
244,3,28891,9
245,3,29854,6
248,3,31043,10
249,3,31859,7
302,5,6,8
303,5,15,6
304,5,17,6
305,5,18,6
306,5,20,6
307,5,22,5
308,5,24,1
309,5,30,1
310,5,45,7
311,5,47,8
312,5,57,7
313,5,63,1
314,5,67,6
315,5,68,6
316,5,132,6
317,5,136,8
318,5,137,8
319,5,138,6
320,5,139,6
321,5,150,2
322,5,152,4
323,5,166,6
324,5,170,6
325,5,174,5
326,5,185,6
327,5,186,6
328,5,189,1
329,5,190,1
330,5,195,4
331,5,199,8
332,5,205,8
333,5,223,6
334,5,225,1
335,5,232,3
336,5,240,4
337,5,241,1
338,5,245,10
339,5,248,1
340,5,249,1
341,5,250,5
342,5,263,7
343,5,264,8
344,5,265,7
345,5,268,7
346,5,269,3
347,5,272,5
348,5,288,2
349,5,292,7
350,5,335,3
351,5,344,7
352,5,371,3
353,5,379,6
354,5,390,3
355,5,392,7
356,5,406,6
357,5,442,4
358,5,443,4
359,5,448,3
360,5,481,3
361,5,482,5
362,5,487,1
363,5,508,3
364,5,517,3
365,5,527,6
366,5,528,7
367,5,534,7
368,5,550,2
369,5,552,7
370,5,709,6
371,5,760,2
372,5,761,5
373,5,813,5
374,5,846,1
375,5,861,2
